current_track-next_track,diff_acousticness,diff_danceability,diff_energy,diff_valence,diff_tempo,diff_instrumentalness,diff_key,diff_mode,diff_liveness,diff_loudness,diff_speechiness,is_good_sequence
5zhee6Apgg8QqeJObO4k1d_4tCtwWceOPWzenK2HAIJSb,0.09547,0.1309999999999999,0.218,0.20100000000000007,30.989999999999995,3.94e-06,4.0,0.0,0.004699999999999996,1.168000000000001,0.0147,1
4tCtwWceOPWzenK2HAIJSb_1rfofaqEpACxVEHIZBJe6W,0.08099999999999999,0.037999999999999916,0.06199999999999994,0.199,0.029000000000010576,3.1660000000000005e-05,6.0,0.0,0.06760000000000001,1.5280000000000014,0.013200000000000005,1
1rfofaqEpACxVEHIZBJe6W_0iBtnFBem30gKANCfx4QIp,0.34800000000000003,0.010000000000000007,0.041999999999999926,0.066,0.2439999999999997,3.1740000000000004e-05,2.0,1.0,0.0040000000000000036,0.839999999999999,0.0538,1
0iBtnFBem30gKANCfx4QIp_1CWTHkV6Px6vAMGl8BTSB8,0.3270000000000001,0.03299999999999992,0.15399999999999991,0.269,35.268,3.86e-06,3.0,0.0,0.01999999999999999,3.257000000000001,0.08220000000000001,1
1CWTHkV6Px6vAMGl8BTSB8_2vwlzO0Qp8kfEtzTsCXfyE,0.20200000000000004,0.2579999999999999,0.01100000000000001,0.248,20.048,0.0,2.0,1.0,0.0010000000000000148,2.168,0.1318,1
2vwlzO0Qp8kfEtzTsCXfyE_6s5i9piq629tK2Sfb9duiL,0.184,0.16999999999999993,0.01999999999999996,0.09199999999999996,44.926,6.330000000000001e-05,4.0,0.0,0.0060000000000000045,0.3039999999999994,0.0928,1
6s5i9piq629tK2Sfb9duiL_6SkCEquKrvWZq7Spotbu1t,0.28600000000000003,0.418,0.10199999999999998,0.08000000000000003,103.26100000000001,6.330000000000001e-05,9.0,0.0,0.007000000000000006,3.1610000000000005,0.0893,1
6SkCEquKrvWZq7Spotbu1t_2f3JCfCiAKqiMGvDZLX520,0.02100000000000002,0.5150000000000001,0.27399999999999997,0.25599999999999995,64.304,0.00015900000000000002,3.0,1.0,0.02149999999999999,1.377000000000001,0.006499999999999999,1
2f3JCfCiAKqiMGvDZLX520_0Qh38w01QRXK6KHIv0e3hb,0.5015000000000001,0.30800000000000005,0.026000000000000027,0.406,0.3780000000000001,0.00015689000000000002,6.0,1.0,0.0060999999999999934,2.172999999999999,0.019500000000000003,1
0Qh38w01QRXK6KHIv0e3hb_1XJ93XskwJf7PCyIVLbNBt,0.5425000000000001,0.31399999999999995,0.204,0.316,28.307,2.11e-06,6.0,0.0,0.10339999999999998,0.3449999999999997,0.1283,1
